row_index,id,school_name,telephone,address,city,state,zip,website,cc_score,avg_ACT,avg_math_SAT,avg_read_SAT,avg_write_SAT,avg_GPA,accept_rate,undergrad_population,graduate_population,region,usn_popular_majors,freshman_retention,student_faculty_ratio,school_type,school_setting,academic_calendar,campus_size,motto,affiliation,athletics,president,mascot,school_color,number_of_students,logo,qs_score,qs_rank,n_popular_majors,median_earn_6_years,graduation_rate,employment_rate,average_aid,application_fee,student_athletic_percentage,application_deadline,application_website,sat_min,sat_max,tuition_fees
1327,dbe633ef-3289-468c-8af1-01875aeea2d5,University of Cincinnati Blue Ash College,513-745-5600,9555 Plainfield Rd,Cincinnati,OH,45236-1007,http://www.ucblueash.edu/,785.08496,N/A,N/A,N/A,N/A,2.73,N/A,5065,0,Great Lakes,N/A,N/A,N/A,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Business:Liberal Arts and Humanities:Nursing:Emergency Medical Technician (EMT Paramedic):Communications:Biology:Criminal Justice and Safety Studies:Psychology:Information Science:Dental Hygiene,"42,300",0.23,0.92,"4,006",50,N/A,N/A,ucblueash.edu/admissions/steps/apply-now.html,0,0,13242
1328,7e62753e-6a47-442b-b9dd-1f5dcb3d9586,University of Detroit Mercy,313-993-1000,4001 W McNichols Rd,Detroit,MI,48221,http://www.udmercy.edu/,1173.5741,25,580,575,531,3.61,0.74,2745,2335,Great Lakes,"Registered Nursing/Registered Nurse:Biology/Biological Sciences, General:Business Administration and Management, General:Engineering, General:Architecture",0.84,11:1,private,campus,N/A,75 acres,"Ad maiorem Dei gloriam ():For the greater glory of God;:Maria, Sedes Sapientiae ():Mary, Seat of Wisdom",N/A,N/A,N/A,Tommy Titan,"Red, White, Blue",4920,N/A,N/A,N/A,Nursing:Biology:Business:Dental Hygiene:Architecture:Spanish Language and Literature:Biochemistry and Molecular Biology:Criminal Justice and Safety Studies:Healthcare Management:Management Sciences and Information Systems,"47,100",0.62,0.93,"30,390",0,0.12,March 1,udmercy.edu/apply,1040,1230,20904
1329,22f1c686-20f8-4c03-80e7-97d9bf151b62,University of Evansville,812-488-2000,1800 Lincoln Avenue,Evansville,IN,47722,http://www.evansville.edu/,1164.941,25,590,600,534,3.71,0.7,2342,174,Great Lakes,"Business, Management, Marketing, and Related Support Services:Health Professions and Related Programs:Engineering:Parks, Recreation, Leisure, and Fitness Studies:Visual and Performing Arts",0.86,11:1,private,city,N/A,75 acres,Civic Mission... Sacred Trust,United Methodist Church:Missouri Valley Conference,Evansville Purple Aces:Division I (NCAA),N/A,Ace Purple,purple and white,2526,https://www.topuniversities.com/sites/default/files/university-of-evansville_5c875b115c52f3048f39ab0d_small.jpg,N/A,251-300,Business:Computer Systems Networking and Telecommunications:Computer Systems Analysis:Electrical Engineering Technician:Web Page and Digital Design:Criminal Justice and Law Enforcement Administration:Computer Engineering Technician:Healthcare Management:Accounting:Computer Software Engineering,"44,100",0.41,0.86,"5,921",30,N/A,N/A,dv.secure.force.com/sswa/dvu/us/2?vc=170005&intcmp=header%7capplynow,0,0,33227
1330,5d4c037f-2f5d-42e4-a242-8d2be71f1c77,University of Saint Joseph,860-232-4571,1678 Asylum Avenue,West Hartford,CT,06117-2700,http://www.usj.edu/,953.4303,21,473,N/A,489,3.44,0.77,1075,1323,New England,Health Professions and Related Programs:Public Administration and Social Service Professions:Psychology:Biological and Biomedical Sciences:Family and Consumer Sciences/Human Sciences,0.79,10:1,private,campus,N/A,90 acres,N/A,N/A,N/A,N/A,N/A,N/A,1800,N/A,N/A,N/A,"Nursing:Social Work and Youth Services:Biology:Child Development:Foods, Nutrition, and Wellness Studies:Psychology:Public Health:Special Education and Teaching:English:Business","52,800",0.68,0.91,"21,536",50,0.13,Rolling Admissions,my.usj.edu/ics/admissions/saint_joseph_college_undergraduate_admissions,970,1160,25226
1331,33aa4943-4c3d-4451-ac96-63eae65cb742,University of Houston-Clear Lake,281-283-7600,2700 Bay Area Blvd,Houston,TX,77058-1002,http://www.uhcl.edu/,975.013,N/A,N/A,N/A,N/A,3.37,0.78,6425,2657,Southwest,"Business, Management, Marketing, and Related Support Services:Multi/Interdisciplinary Studies:Psychology:Health Professions and Related Programs:Biological and Biomedical Sciences",N/A,17:1,public,campus,N/A,524 acres,N/A,American Association of State Colleges and Universities:University of Houston System,N/A,William A. Staples,Hunter the Hawk,Blue and green,8628,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1332,3e6c00e4-753b-45e3-be05-01dad2e68f3c,University of Houston - Downtown,713-221-8000,1 Main Street,Houston,TX,77002,http://www.uhd.edu/,931.8475,18,500,500,N/A,N/A,0.89,13136,1504,Southwest,"Multi/Interdisciplinary Studies:Business, Management, Marketing, and Related Support Services:Homeland Security, Law Enforcement, Firefighting and Related Protective Services:Psychology:Communication, Journalism, and Related Programs",0.71,19:1,public,campus,N/A,40 acres,N/A,American Association of State Colleges and Universities:University of Houston System,N/A,N/A,Ed-U-Gator,Blue and Red,14262,N/A,N/A,N/A,Liberal Arts and Humanities:Business:Accounting:Criminal Justice and Safety Studies:Psychology:Finance:Communications:Management Sciences and Information Systems:Information Science:Social Work and Youth Services,"45,000",0.21,0.9,"8,201",50,N/A,July 1,uhd.edu/admissions/apply/pages/admissions-application.aspx,920,1080,8766
1333,f5be2b0b-018d-4121-b4ec-51560e31cad5,University of Dubuque,563-589-3000,2000 University Ave,Dubuque,IA,52001-5099,http://www.dbq.edu/,962.06335,20,485,490,N/A,3,0.73,1900,403,Plains,"Business, Management, Marketing, and Related Support Services:Parks, Recreation, Leisure, and Fitness Studies:Health Professions and Related Programs:Homeland Security, Law Enforcement, Firefighting and Related Protective Services:Transportation and Materials Moving",0.63,13:1,private,city,N/A,77 acres,Mancherlei Gaben und Ein Geist (trans: Many Talents and One Spirit),Presbyterian Church (USA),N/A,Jeffrey Bullock,Sparty the Spartan,Royal BlueandWhite,1559,N/A,N/A,N/A,Business:Accounting:Professional Pilot:Criminal Justice and Safety Studies:Elementary Education:Kinesiology and Exercise Science:Aviation Management and Operations:Psychology:Communications:Nursing,"39,200",0.43,0.96,"16,579",25,0.37,N/A,dbq.edu/admission/applyonline,900,1120,22822
1334,b974cd27-a996-4ae6-9c87-d527123507b7,University of Idaho,208-885-6111,875 Perimeter Drive,Moscow,ID,83844-2282,http://www.uidaho.edu/,1528.7311,24,555,570,498,3.45,0.78,9392,2534,Rocky Mountains,"Psychology, General:Mechanical Engineering:Electrical and Electronics Engineering:Finance, General:General Studies",0.79,16:1,public,campus,N/A,810 acres,N/A,Association of American Universities:Association of Public and Land-Grant Universities:Big Ten Academic Alliance:Universities Research Association,NCAA Division I,Bruce Harreld,Herky the Hawk,"Black, Gold",33334,https://www.topuniversities.com/sites/default/files/university-of-idaho_1847_small.jpg,N/A,171-180,Kinesiology and Exercise Science:Finance:Liberal Arts and Humanities:Psychology:Business:Communications:Nursing:Economics:Marketing:English,"51,900",0.74,0.96,"8,045",40,0.03,May 1,admissions.uiowa.edu/apply,1140,1370,14845
1335,e4f121f8-d50e-4d0c-a5dc-09ba1c656107,University of Illinois at Chicago,312-996-7000,601 S Morgan,Chicago,IL,60607-7128,http://www.uic.edu/,1468.2993,24,560,560,526,3.38,0.73,21641,11749,Great Lakes,"Business, Management, Marketing, and Related Support Services:Biological and Biomedical Sciences:Engineering:Health Professions and Related Programs:Psychology",0.8,18:1,public,campus,N/A,240 acres,"Teach, research, serve, care.",Great Cities' Universities:Universities Research Association,NCAA Division I,N/A,Sparky D. Dragon,Indigo blue and Flame red,29048,https://www.topuniversities.com/sites/default/files/university-of-illinois-chicago-uic_592560cf2aeae70239af4b9a_small.jpg,57.5,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1336,d191b615-1f30-46ab-9a67-8c630326e6bd,University of Illinois at Springfield,217-206-6600,One University Plaza,Springfield,IL,62703-5407,http://www.uis.edu/,945.99713,23,556,558,N/A,3.65,0.77,2674,1601,Great Lakes,"Business Administration and Management, General:Computer Science:Psychology, General:Accounting:Communication and Media Studies",0.77,13:1,public,city,N/A,746 acres,Leadership Lived,N/A,N/A,Timothy L. Killeen,Prairie Stars,Deep Navy and White,N/A,N/A,N/A,N/A,Business:Computer Science:Psychology:Accounting:Communications:Criminal Justice and Safety Studies:Biology:English:Social Work and Youth Services:Mathematics,"44,600",0.5,0.91,"12,207",50,0.14,Rolling Admissions,uis.edu/admissions/applytoday.html,1030,1270,12054
1337,bb547153-6920-4c86-8fec-62425b54148d,University of Illinois at Urbana-Champaign,217-333-1000,601 E John Street,Champaign,IL,61820,http://www.illinois.edu/,1563.2634,29,700,650,N/A,N/A,0.62,33915,15787,Great Lakes,"Engineering:Business, Management, Marketing, and Related Support Services:Social Sciences:Biological and Biomedical Sciences:Communication, Journalism, and Related Programs",0.93,20:1,public,city,N/A,N/A,Learning and Labor,Association of American Universities:Association of Public and Land-Grant Universities:Big Ten Academic Alliance:University of Illinois system:Universities Research Association,NCAA Division I,N/A,None (2007–present),Illinois blue:Illinois orange,44087,https://www.topuniversities.com/sites/default/files/university-of-illinois-at-urbana-champaign_2090_small_0.jpg,59.9,33,Research and Experimental Psychology:Economics:Accounting:Communications:Cellular Biology:Computer Hardware Engineering:Finance:Electrical Engineering:Computer Science:Mechanical Engineering,"61,500",0.85,0.95,"13,595",50,0.02,December 1,admissions.illinois.edu/apply,1340,1500,16638
1338,4e780fd8-6024-4272-a4ed-cc420362fb8c,University of Indianapolis,317-788-3368,1400 E Hanna Ave,Indianapolis,IN,46227-3697,http://www.uindy.edu/,1097.0763,N/A,N/A,N/A,N/A,3.5,0.86,4346,1365,Great Lakes,"Registered Nursing/Registered Nurse:Business Administration and Management, General:Psychology, General:Kinesiology and Exercise Science:Biology/Biological Sciences, General",0.75,12:1,private,campus,N/A,65 acres,Education for Service,Association of American Colleges and Universities:National Association of Independent Colleges and Universities:Council of Independent Colleges,NCAA Division II,N/A,N/A,CrimsonandGrey,5400,N/A,N/A,N/A,Nursing:Business:Psychology:Kinesiology and Exercise Science:Banking and Finance:Communications:Liberal Arts and Humanities:Sport and Fitness Management:Biology:Physical Therapy Technician,"40,600",0.56,0.94,"19,134",25,0.17,Rolling Admissions,uindy.edu/admissions/apply-for-admission,990,1180,21510
1339,1a67cfdd-b2c1-479c-9e0d-5e50fd0bae47,University of Houston-Victoria,361-570-4848,3007 N. Ben Wilson,Victoria,TX,77901-4450,http://www.uhv.edu/,845.51654,N/A,N/A,N/A,N/A,N/A,0.56,3012,1395,Southwest,N/A,0.51,N/A,public,campus,N/A,20 acres,N/A,American Association of State Colleges and Universities:University of Houston System,National Association of Intercollegiate Athletics,N/A,N/A,"Red, black and gold",4335,N/A,N/A,N/A,Liberal Arts and Humanities:Business:Psychology:Accounting:Information Science:Criminal Justice and Safety Studies:Biology:Finance:English:Communications,"41,800",0.18,0.9,"8,016",0,0.07,N/A,uhv.edu/apply/default.aspx,810,1008,11305
1340,3cfdcba3-d8fe-4a41-977b-67cba4914984,University of Kentucky,859-257-9000,South Limestone,Lexington,KY,40506-0032,http://www.uky.edu/,1658.2274,26,597,599,550,3.52,0.96,22236,7166,Southeast,"Business, Management, Marketing, and Related Support Services:Health Professions and Related Programs:Engineering:Communication, Journalism, and Related Programs:Education",0.84,16:1,public,city,N/A,814 acres,"United We Stand, Divided We Fall",Southeastern Universities Research Association:Association of Public and Land-Grant Universities:Oak Ridge Associated Universities,NCAA Division I,Eli Capilouto,"""The Wildcat,"" ""Scratch""",Blue and white,30720,https://www.topuniversities.com/sites/default/files/university-of-kentucky_316_small.jpg,N/A,131-140,Psychology:Physical Education Teaching and Coaching:Marketing:Nursing:Communications:Business:Biology:Finance:Accounting:Mechanical Engineering,"45,100",0.65,0.94,"9,387",50,0.02,February 15,uky.edu/admission/apply-uk,1080,1330,19361
1341,c8ceb601-8a84-454b-8354-cdcda0df3ff5,University of La Verne,909-593-3511,1950 Third St,La Verne,CA,91750-4443,http://www.laverne.edu/,1069.977,22,559,561,504,3.57,0.55,2509,1975,Far West,"Business, Management, Marketing, and Related Support Services:Social Sciences:Education:Psychology:Communication, Journalism, and Related Programs",0.83,12:1,private,campus,N/A,66 acres,"Knowledge, Service, Vision",Church of the Brethren,N/A,N/A,Leos,Green and Orange,N/A,https://www.topuniversities.com/sites/default/files/university-of-la-verne_592560cf2aeae70239af51bb_small.jpg,N/A,251-300,Business:Liberal Arts and Humanities:Psychology:Physical Education Teaching and Coaching:Child Development:Biology:Communications:Accounting:Criminology:Public Administration,"49,200",0.66,0.92,"24,969",50,0.11,Rolling Admissions,laverne.edu/apply,1020,1190,27718
1342,1e6574bf-86b4-47bc-9a1c-92d6a1c4964f,University of Louisiana at Lafayette,337-482-1000,104 University Circle,Lafayette,LA,70504,http://www.louisiana.edu/,1101.3928,24,534,526,N/A,3.39,0.68,14603,2330,Southeast,"Health Professions and Related Programs:Business, Management, Marketing, and Related Support Services:Engineering:Liberal Arts and Sciences, General Studies and Humanities:Education",0.75,20:1,public,city,N/A,N/A,"Boldly, Happily, Faithfully:Fortiter, Feliciter, Fideliter",Association of Public and Land-grant Universities:University of Louisiana System:Southeastern Universities Research Association,NCAA Division I,N/A,Cayenne,Vermilionand Evangeline White,17508,N/A,N/A,N/A,Nursing:Liberal Arts and Humanities:Business:Physical Education Teaching and Coaching:Mining and Petroleum Engineering:Manufacturing Engineering Technician:Psychology:Biology:Finance:Accounting,"39,900",0.44,0.92,"7,899",25,0.03,N/A,N/A,820,1180,12502
1343,e54d311a-de33-4fc9-97d4-6455c6bc3b79,University of Louisiana at Monroe,318-342-1000,700 University Avenue,Monroe,LA,71209-0001,http://www.ulm.edu/,1018.1784,23,506,N/A,486,3.5,0.79,6876,1613,Southeast,"Psychology, General:General Studies:Registered Nursing/Registered Nurse:Business Administration and Management, General:Kinesiology and Exercise Science",0.73,18:1,public,city,N/A,238 acres,N/A,University of Louisiana System,NCAA Division I,Nick Bruno,Ace the Warhawk,Maroon and Gold,8854,N/A,N/A,N/A,Liberal Arts and Humanities:Psychology:Pharmacy and Pharmaceutical Sciences:Kinesiology and Exercise Science:Nursing:Business:Biology:Health Professions:Communications:Elementary Education,"37,500",0.41,0.92,"8,958",20,0.08,N/A,ulm.edu/enrollment/applyinginfo.html,850,1070,10787
1344,99fbbeae-ea83-4e11-a369-b77c55f708ea,University of Louisville,502-852-5555,2301 S 3rd St,Louisville,KY,40292-0001,http://www.louisville.edu/,1303.0706,25,562,557,N/A,3.62,0.7,15860,5810,Southeast,"Business, Management, Marketing, and Related Support Services:Engineering:Health Professions and Related Programs:Education:Parks, Recreation, Leisure, and Fitness Studies",0.8,14:1,public,campus,N/A,287 acres,It's Happening Here,Association of Public and Land-grant Universities:Coalition of Urban and Metropolitan Universities:Oak Ridge Associated Universities,NCAA Division I,N/A,Cardinal Bird,"Red, Black, Yellow, Gray",22367,N/A,N/A,N/A,Communications:Nursing:Psychology:Physical Education Teaching and Coaching:Criminal Justice and Law Enforcement Administration:Marketing:Education:Biology:Mechanical Engineering:Accounting,"41,800",0.54,0.93,"9,589",25,0.05,N/A,louisville.edu/admissions/apply,1070,1290,17008
1345,3ce91239-b5b8-4766-be51-3750aa5f94e5,University of Lynchburg,434-544-8100,1501 Lakeside Dr,Lynchburg,VA,24501-3199,http://www.lynchburg.edu/,1000.91223,22,520,550,0,3.41,0.91,1935,1021,Southeast,"Health Professions and Related Programs:Biological and Biomedical Sciences:Social Sciences:Business, Management, Marketing, and Related Support Services:Education",0.78,11:1,private,city,N/A,264 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nursing:Communications:Education:Business:Public Health Education:Psychology:Exercise Physiology:Criminology:Biology:Accounting,"43,600",0.59,0.94,"24,624",30,0.2,Rolling Admissions,admissions.lynchburg.edu/apply,1000,1180,24202
1346,452cd81d-be1e-486c-bd57-ef864bf270a1,University of Maine at Augusta,207-621-3000,46 University Dr,Augusta,ME,04330-9410,http://www.uma.edu/,823.93384,N/A,N/A,N/A,N/A,N/A,0.98,4683,0,New England,N/A,0.56,N/A,public,campus,N/A,159 acres,N/A,United States Collegiate Athletic Association,N/A,N/A,N/A,N/A,6000,N/A,N/A,N/A,Liberal Arts and Humanities:Psychiatric and Mental Health Services:Business:Nursing:Mental Health Counseling:Dental Hygiene:Library Science:Veterinary Technician and Assistant:Information Technology:Criminal Justice and Law Enforcement Administration,"27,700",0.17,0.8,"5,555",0,0.03,Rolling Admissions,uma.edu/admission/apply,0,0,11752
1347,47a8deb0-9721-4132-ba8d-688eca606b67,University of Maine at Farmington,207-778-7000,224 Main St.,Farmington,ME,4938,http://www.umf.maine.edu/,918.8979,24,516,540,493,3.11,0.91,1674,256,New England,"Education:Health Professions and Related Programs:Psychology:English Language and Literature/Letters:Business, Management, Marketing, and Related Support Services",0.72,11:1,public,campus,N/A,55 acres,N/A,Division III (NCAA),N/A,Kathryn A. Foster,N/A,Maroon and white,2000,N/A,N/A,N/A,Elementary Education:Psychology:High School Education:Early Childhood Education:Community Health Services and Counseling:Rehabilitation and Therapy:English:Managerial Economics:Special Education and Teaching:Mathematics,"36,000",0.51,0.93,"7,470",0,0.12,N/A,umf.maine.edu/admission,0,0,13554
1348,73602536-86ca-47c2-b937-b8bc557e68ff,University of Massachusetts Amherst,413-545-0111,374 Whitmore Building 181 Presidents Drive,Amherst,MA,1003,http://www.umass.edu/,1429.4504,29,655,635,N/A,3.9,0.64,24209,7141,New England,"Business, Management, Marketing, and Related Support Services:Social Sciences:Biological and Biomedical Sciences:Health Professions and Related Programs:Psychology",0.91,17:1,public,campus,N/A,N/A,"""By the sword we seek peace, but peace only under liberty"":Ense petit placidam sub libertate quietem (Latin)",Association of Public and Land-grant Universities:American Association of State Colleges and Universities:University of Massachusetts:Five Colleges (Massachusetts),Mid-American Conference:Hockey East:NCAA Division I,N/A,Sam the Minuteman,"Maroon, Black & White",29269,https://www.topuniversities.com/sites/default/files/university-of-massachusetts-amherst_592560cf2aeae70239af4c0e_small.jpg,53.6,60,Business:Hospitality and Tourism Management:Psychology:Social Science Research Methods:Nursing:Biology:Communications:Computational and Applied Mathematics:Public Health Education:English,"36,800",0.27,0.92,"6,462",40,0.11,N/A,ssb.onecarolina.sc.edu/banp/bwskalog.p_disploginnon,930,1090,16266
1349,2d2fcd75-0c98-4ac9-bfba-12998ca28d4e,University of Massachusetts Boston,617-287-5000,100 Morrissey Boulevard,Boston,MA,02125-3393,http://www.umb.edu/,1170.4576,24,560,552,N/A,3.38,0.76,12595,3394,New England,"Business, Management, Marketing, and Related Support Services:Health Professions and Related Programs:Psychology:Social Sciences:Biological and Biomedical Sciences",0.77,16:1,public,N/A,N/A,120 acres,N/A,American Association of State Colleges and Universities:Association of American Colleges and Universities:University of Massachusetts:Coalition of Urban and Metropolitan Universities:Association of Public and Land-Grant Universities:Urban 13:Great Cities' Universities,National Collegiate Athletic Association:ECAC East,Marty Meehan,Bobby Beacon,UMass Boston Blue:White,16756,https://www.topuniversities.com/sites/default/files/university-of-massachusetts-boston_592560cf2aeae70239af566b_small.jpg,50.1,79,"Business:Psychology:Nursing Science, Education, and Practice:Biology:Physical Education Teaching and Coaching:Nursing:Criminal Justice and Safety Studies:Economics:Information Technology:English","48,200",0.48,0.91,"11,342",60,0.03,March 1,umb.edu/admissions,1040,1220,10991
1350,4b11a28f-e6f4-4947-b7f1-9162aeb0e818,University of Massachusetts Dartmouth,508-999-8000,285 Old Westport Rd,North Dartmouth,MA,02747-2300,http://www.umassd.edu/,1114.3425,22,545,546,N/A,3.29,0.75,6405,1749,New England,"Business, Management, Marketing, and Related Support Services:Health Professions and Related Programs:Engineering:Social Sciences:Visual and Performing Arts",0.72,16:1,public,campus,N/A,710 acres,N/A,N/A,N/A,Marty Meehan,Arnie the Corsair,Blue and Gold,N/A,N/A,N/A,N/A,Nursing:Psychology:Business:Accounting:Criminology:Marketing:Mechanical Engineering:Information Science:Finance:Biology,"48,200",0.48,0.95,"8,250",60,0.08,Rolling Admissions,umassd.edu/apply,1000,1190,18184
1351,770c9eee-616e-4628-a7b1-20fdf00a029b,University of Massachusetts Lowell,978-934-4000,1 University Ave,Lowell,MA,1854,http://www.uml.edu/,1204.99,26,624,609,546,3.6,0.73,14172,4183,New England,"Business, Management, Marketing, and Related Support Services:Engineering:Computer and Information Sciences and Support Services:Health Professions and Related Programs:Homeland Security, Law Enforcement, Firefighting and Related Protective Services",0.85,17:1,public,city,N/A,142 acres,N/A,University of Massachusetts,America East Conference:Hockey East:NCAA Division I,N/A,Rowdy theRiver Hawk,Blue and Black,N/A,https://www.topuniversities.com/sites/default/files/university-of-massachusetts-lowell-_592560cf2aeae70239af537b_small.jpg,N/A,191-200,Business:Criminal Justice and Law Enforcement Administration:Information Science:Psychology:Mechanical Engineering:Biology:Rehabilitation and Therapy:Nursing:Liberal Arts and Humanities:Electrical Engineering,"53,300",0.6,0.94,"9,817",60,0.04,February 1,uml.edu/admissions/apply/default.aspx,1130,1310,18375
1352,697d9951-41de-456c-bb26-3cafcf6c7521,University of Memphis,901-678-2000,Southern Avenue,Memphis,TN,38152,http://www.memphis.edu/,1216.7396,23,556,572,N/A,3.51,0.85,17378,4307,Southeast,"Business, Management, Marketing, and Related Support Services:Parks, Recreation, Leisure, and Fitness Studies:Health Professions and Related Programs:Multi/Interdisciplinary Studies:Psychology",0.74,15:1,public,campus,N/A,N/A,"""Driven by doing.""",Association of Public and Land-grant Universities:Southeastern Universities Research Association:Oak Ridge Associated Universities:Urban 13:Great Cities' Universities,National Collegiate Athletic Association,N/A,TOM III (live tiger) and Pouncer (costumed mascot),Blue & Gray,20585,https://www.topuniversities.com/sites/default/files/university-of-memphis_592560cf2aeae70239af51bd_small.jpg,N/A,201-250,Liberal Arts and Humanities:Nursing:Kinesiology and Exercise Science:Accounting:Psychology:Criminal Justice and Law Enforcement Administration:Business:Middle School Education:Biology:Marketing,"37,400",0.43,0.92,"8,960",25,0.03,July 1,memphis.edu/admissions/freshmen/apply_ugrd.php,1010,1230,13663
1353,df77ae4b-8e7f-4a28-aa39-405372a1a97b,University of Michigan-Dearborn,313-593-5000,4901 Evergreen Rd,Dearborn,MI,48128,http://www.umdearborn.edu/,1183.4072,25,604,593,N/A,3.65,0.62,6914,2281,Great Lakes,"Business, Management, Marketing, and Related Support Services:Health Professions and Related Programs:Psychology:Social Sciences:Education",0.76,19:1,public,campus,N/A,460 acres,"Arts, Knowledge, Truth",Wolverine-Hoosier Athletic Conference,N/A,Mark Schlissel,N/A,Maize and Blue,9193,https://www.topuniversities.com/sites/default/files/university-of-michigan_403_small_0.jpg,66.3,18,Psychology:Communications:Mechanical Engineering:Biology:Accounting:Electrical Engineering:Criminal Justice and Safety Studies:Finance:Marketing:Liberal Arts and Humanities,"48,600",0.54,0.88,"8,807",0,0.04,Rolling Admissions,umdearborn.edu/apply,1100,1300,9692
1354,ff30fb23-a208-4358-acd9-b91a13ce4537,University of Michigan-Flint,810-762-3300,303 E. Kearsley Street,Flint,MI,48502-1950,http://www.umflint.edu/,1092.7598,23,535,555,498,3.46,0.66,5862,1435,Great Lakes,"Health Professions and Related Programs:Business, Management, Marketing, and Related Support Services:Biological and Biomedical Sciences:Psychology:Education",0.73,14:1,public,city,N/A,76 acres,"Artes, Scientia, Veritas:Arts, Knowledge, Truth",N/A,N/A,Mark S. Schlissel,N/A,Maize and Blue,8289,N/A,N/A,N/A,Nursing:Business:Psychology:Healthcare Management:Accounting:Social Work and Youth Services:Finance:Communications:Information Science:Health Service Preparatory Studies,"40,600",0.44,0.88,"8,180",0,N/A,August 20,umflint.edu/apply,950,1200,10906
1355,a5d6b6ba-774e-4b31-8586-8917516aba4c,"University of Minnesota, Crookston",218-281-6510,2900 University Ave,Crookston,MN,56716-5001,http://www.umcrookston.edu/,897.3151,22,547,541,462,3.27,0.68,2790,0,Plains,N/A,0.7,N/A,public,campus,N/A,108 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Accounting:Business:Healthcare Management:Operations Management:Natural Resources Conservation and Management:Animal Sciences and Husbandry:Business Support Services:Liberal Arts and Humanities:Communications:Plant Science,"44,800",0.54,0.95,"9,082",30,0.24,Rolling Admissions,crk.umn.edu/admissions/apply-now,960,1140,13962
1356,670a1bbf-097b-4538-86f0-b4b81889e966,University of Montevallo,205-665-6000,Station 6001,Montevallo,AL,35115,http://www.montevallo.edu/,876.93243,23,N/A,N/A,N/A,3.57,0.53,2242,317,Southeast,N/A,0.75,13:1,public,campus,N/A,160 acres,Unconventional Wisdom,Peach Belt Conference:National Collegiate Athletic Association,N/A,N/A,N/A,Purple and Gold,3033,N/A,N/A,N/A,Physical Education Teaching and Coaching:Elementary Education:Arts:Speech Language Pathology:Psychology:History:Accounting:Biology:Family Studies and Consumer Sciences:Social Work and Youth Services,"34,200",0.5,0.89,"9,898",30,0.18,Rolling Admissions,apply.montevallo.edu/ellucian.erecruiting.web.external/pages/welcome.aspx,900,1200,16075
1357,899d88d2-9d31-4462-98fb-78837a1de651,University of Mount Union,330-821-5320,1972 Clark Ave.,Alliance,OH,44601-3993,http://www.mountunion.edu/,1069.977,23,547,546,N/A,3.44,0.96,2116,193,Great Lakes,"Business, Management, Marketing, and Related Support Services:Parks, Recreation, Leisure, and Fitness Studies:Education:Biological and Biomedical Sciences:Health Professions and Related Programs",0.76,12:1,private,city,N/A,123 acres,Sit Lux,N/A,N/A,N/A,MUcaw,Purple and White,N/A,N/A,N/A,N/A,Kinesiology and Exercise Science:Sport and Fitness Management:Biology:Marketing:Business:Psychology:Early Childhood Education:Human Resources:Criminal Justice and Safety Studies:Nursing,"42,900",0.62,0.95,"17,954",0,0.38,N/A,mountunion.edu/apply-to-university,980,1200,23030
1358,b2ef9d1e-ff3c-476f-b9fc-98918589ac92,University of Nebraska at Kearney,308-865-8441,905 W 25th St,Kearney,NE,68849-0001,http://www.unk.edu/,928.73096,23,548,532,N/A,3.54,0.85,4429,1850,Plains,"Business Administration and Management, General:Elementary Education and Teaching:Operations Management and Supervision:Parks, Recreation and Leisure Studies:Family and Consumer Economics and Related Services, Other",0.8,13:1,public,city,N/A,515 acres,We Are Difference Makers,University of Nebraska system,N/A,N/A,Louie the Loper,Blue and Gold,7052,N/A,N/A,N/A,"Business:Elementary Education:Operations Management:Parks, Recreation and Leisure Studies:Psychology:Family Studies and Consumer Sciences:Special Education and Teaching:Criminal Justice and Safety Studies:Sport and Fitness Management:Social Work and Youth Services","41,300",0.61,0.95,"5,927",45,0.11,August 15,unk.edu/apply,1040,1140,15909
1359,38e27f44-5c4c-4ab6-a8c3-f188e1aaddef,University of Nebraska at Omaha,402-554-2200,6001 Dodge St,Omaha,NE,68182,http://www.unomaha.edu/,1248.1555,N/A,N/A,N/A,N/A,3.5,0.83,12245,2908,Plains,"Criminal Justice/Safety Studies:Business Administration and Management, General:Psychology, General:Marketing/Marketing Management, General:Biology/Biological Sciences, General",0.76,17:1,public,campus,N/A,685 acres,N/A,N/A,N/A,N/A,Durango,Black and Crimson,15526,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
